ENT5	YDR153C	PEP8	YJL053W	1
ENT5	YDR153C	YLR269C	YLR269C	1
ENT5	YDR153C	GET4	YOR164C	1
HSP30	YCR021C	SIP3	YNL257C	1
HSP30	YCR021C	YCR022C	YCR022C	1
ADD66	YKL206C	PRE9	YGR135W	1
ADD66	YKL206C	POC4	YPL144W	1
ADD66	YKL206C	IRC25	YLR021W	1
RAD4	YER162C	SPR6	YER115C	1
RAD4	YER162C	RSC2	YLR357W	1
RAD4	YER162C	ATG11	YPR049C	1
RAD4	YER162C	ASK10	YGR097W	1
RAD4	YER162C	EAF1	YDR359C	1
RAD4	YER162C	SAK1	YER129W	1
RAD4	YER162C	RAD1	YPL022W	1
YBL055C	YBL055C	YBR271W	YBR271W	1
YBL055C	YBL055C	DTR1	YBR180W	1
YBL055C	YBL055C	ESBP6	YNL125C	1
YBL055C	YBL055C	GLG1	YKR058W	1
YBL055C	YBL055C	GDE1	YPL110C	1
GRE1	YPL223C	BTS1	YPL069C	1
GRE1	YPL223C	DDP1	YOR163W	1
GRE1	YPL223C	ADE4	YMR300C	1
GRE1	YPL223C	YPL229W	YPL229W	1
GRE1	YPL223C	YMR118C	YMR118C	1
GRE1	YPL223C	SNO4	YMR322C	1
GRE1	YPL223C	SPO20	YMR017W	1
SSA3	YBL075C	sec39-2	YLR440C	1
NTO1	YPR031W	YPR012W	YPR012W	1
NTO1	YPR031W	SAS3	YBL052C	1
NTO1	YPR031W	YNG1	YOR064C	1
PMP3	YDR276C	EAF1	YDR359C	1
PMP3	YDR276C	RVS161	YCR009C	1
PMP3	YDR276C	act1-120	YFL039C	1
PMP3	YDR276C	SRN2	YLR119W	1
PMP3	YDR276C	SHE4	YOR035C	1
PMP3	YDR276C	SLA1	YBL007C	1
PMP3	YDR276C	AIM3	YBR108W	1
ALG3	YBL082C	ALG5	YPL227C	1
ALG3	YBL082C	SLP1	YOR154W	1
ALG3	YBL082C	ALG8	YOR067C	1
ALG3	YBL082C	DIE2	YGR227W	1
ALG3	YBL082C	IRE1	YHR079C	1
ALG3	YBL082C	YFL032W	YFL032W	1
ALG3	YBL082C	ROT2	YBR229C	1
ALG3	YBL082C	HAC1	YFL031W	1
ALG3	YBL082C	ALG6	YOR002W	1
ALG3	YBL082C	YER140W	YER140W	1
ALG3	YBL082C	YMR148W	YMR148W	1
ALG3	YBL082C	CSF1	YLR087C	1
ALG3	YBL082C	STE24	YJR117W	1
ALG3	YBL082C	ALG12	YNR030W	1
ALG3	YBL082C	OST5	YGL226C-A	1
ALG3	YBL082C	SCJ1	YMR214W	1
ALG3	YBL082C	YBL083C	YBL083C	1
ALG3	YBL082C	HRD1	YOL013C	1
ALG3	YBL082C	SPC2	YML055W	1
SPA2	YLL021W	YDR348C	YDR348C	1
SPA2	YLL021W	SKT5	YBL061C	1
SPA2	YLL021W	GAS1	YMR307W	1
SPA2	YLL021W	BCK1	YJL095W	1
SPA2	YLL021W	BUD6	YLR319C	1
SPA2	YLL021W	SLT2	YHR030C	1
SPA2	YLL021W	RGD1	YBR260C	1
SPA2	YLL021W	YMR124W	YMR124W	1
SPA2	YLL021W	TPM1	YNL079C	1
SPA2	YLL021W	PEA2	YER149C	1
SPA2	YLL021W	LAS21	YJL062W	1
SPA2	YLL021W	YJR087W	YJR087W	1
SPA2	YLL021W	FKS1	YLR342W	1
SPA2	YLL021W	BEM4	YPL161C	1
SPA2	YLL021W	CHS3	YBR023C	1
SPA2	YLL021W	CAP1	YKL007W	1
SPA2	YLL021W	SMY1	YKL079W	1
SPA2	YLL021W	FPS1	YLL043W	1
SPA2	YLL021W	SLA1	YBL007C	1
SPA2	YLL021W	YBL062W	YBL062W	1
SPA2	YLL021W	CYK3	YDL117W	1
SPA2	YLL021W	ECM33	YBR078W	1
SPA2	YLL021W	CHS6	YJL099W	1
CLB5	YPR120C	RAD61	YDR014W	1
CLB5	YPR120C	PPH3	YDR075W	1
YKU70	YMR284W	cdc28-13	YBR160W	1
YKU70	YMR284W	YKU80	YMR106C	1
YKU70	YMR284W	GFD1	YMR255W	1
SEC22	YLR268W	uso1-1	YDL058W	1
SEC22	YLR268W	VPS51	YKR020W	1
SEC22	YLR268W	VPS45	YGL095C	1
SEC22	YLR268W	RUD3	YOR216C	1
SEC22	YLR268W	cog3-1	YER157W	1
SEC22	YLR268W	GET1	YGL020C	1
SEC22	YLR268W	GET2	YER083C	1
SEC22	YLR268W	COG8	YML071C	1
SEC22	YLR268W	COG6	YNL041C	1
SEC22	YLR268W	ERV14	YGL054C	1
SEC22	YLR268W	sec22-3	YLR268W	1
SEC22	YLR268W	sly1-ts	YDR189W	1
SEC22	YLR268W	COG7	YGL005C	1
SEC22	YLR268W	COG5	YNL051W	1
SEC22	YLR268W	bos1-1	YLR078C	1
ITR1	YDR497C	INO1	YJL153C	1
ITR1	YDR497C	DUF1	YOL087C	1
ITR1	YDR497C	SER3	YER081W	1
ITR1	YDR497C	sec10-2	YLR166C	1
KIN4	YOR233W	DFR1_damp	YOR236W	1
YOR022C	YOR022C	COQ10	YOL008W	1
BRR1	YPR057W	LSM7	YNL147W	1
BRR1	YPR057W	BUD13	YGL174W	1
BRR1	YPR057W	YNR004W	YNR004W	1
BRR1	YPR057W	LEA1	YPL213W	1
BRR1	YPR057W	LIN1	YHR156C	1
BRR1	YPR057W	MUD1	YBR119W	1
BRR1	YPR057W	SNU66	YOR308C	1
BRR1	YPR057W	NOP12	YOL041C	1
BRR1	YPR057W	NHP6A	YPR052C	1
BRR1	YPR057W	MUD2	YKL074C	1
BRR1	YPR057W	REC104	YHR157W	1
BRR1	YPR057W	IST3	YIR005W	1
BRR1	YPR057W	QCR2	YPR191W	1
BRR1	YPR057W	IRC13	YOR235W	1
BRR1	YPR057W	TGS1	YPL157W	1
RPS0A	YGR214W	RPS11B	YBR048W	1
RPS0A	YGR214W	RPS26B	YER131W	1
RPS0A	YGR214W	RPL43B	YJR094W-A	1
RPS0A	YGR214W	TMA23	YMR269W	1
RPS0A	YGR214W	RRP8	YDR083W	1
RPS0A	YGR214W	RPS10B	YMR230W	1
RPS0A	YGR214W	RPS14A	YCR031C	1
RPS0A	YGR214W	RPL17B	YJL177W	1
RPS0A	YGR214W	YLR366W	YLR366W	1
RPS0A	YGR214W	RPL27B	YDR471W	1
RPS0A	YGR214W	RPL9B	YNL067W	1
RPS0A	YGR214W	RPS7B	YNL096C	1
RPS0A	YGR214W	RPS1A	YLR441C	1
RPS0A	YGR214W	RPS22B	YLR367W	1
RPS0A	YGR214W	RPS16B	YDL083C	1
RPS0A	YGR214W	RPL23A	YBL087C	1
RPS0A	YGR214W	RPL31B	YLR406C	1
RPS0A	YGR214W	RPS30A	YLR287C-A	1
RPS0A	YGR214W	RPS17B	YDR447C	1
RPS0A	YGR214W	RPS29A	YLR388W	1
RPS0A	YGR214W	RPS16A	YMR143W	1
RPS0A	YGR214W	RPS21A	YKR057W	1
RPS0A	YGR214W	RPL16A	YIL133C	1
RPS0A	YGR214W	RPL11B	YGR085C	1
RPS0A	YGR214W	RPL24B	YGR148C	1
RPS0A	YGR214W	RPL13A	YDL082W	1
RPS0A	YGR214W	RPS18B	YML026C	1
RPS0A	YGR214W	RPS6B	YBR181C	1
RPS0A	YGR214W	RPS23A	YGR118W	1
SAP30	YMR263W	SDS3	YIL084C	1
SAP30	YMR263W	RTR1	YER139C	1
SAP30	YMR263W	ATG3	YNR007C	1
SAP30	YMR263W	SOH1	YGL127C	1
SAP30	YMR263W	YPL182C	YPL182C	1
SAP30	YMR263W	UTR1	YJR049C	1
SAP30	YMR263W	SIN3	YOL004W	1
SAP30	YMR263W	SWD3	YBR175W	1
SAP30	YMR263W	CTI6	YPL181W	1
SAP30	YMR263W	RXT2	YBR095C	1
SAP30	YMR263W	PHO23	YNL097C	1
SAP30	YMR263W	UME1	YPL139C	1
SAP30	YMR263W	sec12-4	YNR026C	1
SAP30	YMR263W	RPD3	YNL330C	1
SAP30	YMR263W	DEP1	YAL013W	1
SAP30	YMR263W	YMR304C-A	YMR304C-A	1
YLL023C	YLL023C	NUP2	YLR335W	1
YLL023C	YLL023C	POM34	YLR018C	1
VMA21	YGR105W	VMA22	YHR060W	1
VMA21	YGR105W	VMA10	YHR039C-A	1
VMA21	YGR105W	VMA5	YKL080W	1
VMA21	YGR105W	VMA13	YPR036W	1
VMA21	YGR105W	VMA9	YCL005W-A	1
VMA21	YGR105W	VMA6	YLR447C	1
VMA21	YGR105W	TFP1	YDL185W	1
