UBP13	723.651	588.369
YNL140C	-1218.341	1495.827
SFT2	306.363	1101.465
srm1-ts	-1694.230	1854.335
YLR349W	-575.043	454.211
TRP1	-160.104	-12.320
LDB19	-1741.423	1893.128
RCO1	-550.310	1525.593
SKI7	-1344.564	-97.955
HAP4	-625.319	459.190
YDR049W	-441.669	-93.004
RPP2A	-289.642	765.987
YGR017W	253.922	254.630
ASN1	-363.969	-23.671
HCH1	-547.286	2898.354
PMP1	-382.415	101.784
YHL044W	999.920	1638.280
UBC5	719.198	1510.907
RER1	242.892	1462.166
RTT103	-1182.449	935.944
ICY2	-781.540	1192.472
DBP3	-1357.957	491.118
OST3	573.645	1708.423
BNA7	-61.190	-254.396
DLD2	-1692.325	1544.185
SKT5	339.766	1875.898
RTC5	-1884.796	2276.815
YJL211C	-329.115	776.232
APL4	876.834	637.819
GTR1	682.468	861.941
SIW14	-762.087	1156.850
YOR309C	-1487.907	296.156
SIS2	710.629	2032.729
NRD1_damp	-880.697	942.006
AHT1	828.008	1608.037
YKL215C	-1867.650	443.011
MSH3	-1248.870	539.481
ARF1	698.018	1480.993
mge1-100	-707.620	95.704
FMO1	199.159	579.963
UBP1	262.654	2328.830
AIM4	-918.075	941.894
YBL029W	-1502.219	2100.558
CWH43	453.991	1788.047
YPL162C	-1883.044	1066.491
ALG8	600.250	1776.818
REI1	-1388.235	438.349
OPT1	-1665.393	459.710
RAD61	-878.615	2586.951
APC11_damp	-1867.070	658.306
CWP1	-1461.298	2115.714
KAP122	-344.615	2049.710
sec11-2	766.106	1763.044
QRI7	-1066.612	-110.897
VPS30	279.477	942.685
SKI2	-1323.712	45.955
NAM8	-1881.017	1154.498
RLF2	-570.039	2629.027
RAD55	-614.837	2770.403
RAD27	-603.529	2681.065
YHC3	842.801	2175.158
HSM3	-1454.220	2353.425
STM1	-351.233	-43.580
RPS11B	-925.853	350.047
DOA4_damp	-1325.885	2432.206
ADR1	-2173.626	1241.863
TEF4	119.779	1016.417
SPO1	-1123.364	-183.734
YLR171W	795.201	673.338
HPA2	-37.605	-113.844
AAD4	-786.895	1836.665
RRM3	-493.467	2584.264
YIL141W	89.944	1930.160
YKL136W	604.285	840.150
SIN4	-1533.354	2571.117
XBP1	489.310	206.096
CIN8	-775.733	2270.693
JEN1	944.162	1927.006
prp4-1	-1362.221	1601.162
YOR114W	839.091	1889.109
CDC50	705.304	684.593
YPR195C	362.329	2639.486
SSH1	-913.606	1496.966
BAR1	923.760	2042.207
YBR016W	-521.596	1790.980
RMD8	249.325	2729.104
SET6	-563.439	2460.530
DST1	-572.817	1261.706
yrb1-51	-1514.177	1663.697
CMR1	-2036.075	1900.389
FMC1	-1080.361	547.878
AIM13	-899.343	731.490
NRG2	-565.842	282.871
SSO2	837.072	458.241
YNL313C_damp	-1527.012	1583.652
PEX32	580.441	814.840
SAS2	-178.270	1440.835
SPR6	-1991.408	1077.263
GYP6	-1759.095	322.271
MED1	-837.000	1514.163
VBA2	-1963.514	617.922
YLR218C	-499.821	-19.148
GAS1	566.017	1667.151
CSM3	-729.319	2614.189
RAX2	-1861.903	2253.995
ADH7	-1309.079	2600.554
TVP18	-876.855	994.886
KES1	899.462	1774.564
GCN1	-260.496	-221.236
OCA4	121.410	726.999
prt1-1	-1590.004	195.267
BTS1	-96.754	602.674
RTT107	-509.048	2820.069
NOB1_damp	-561.842	1209.243
CSR2	-1281.369	2287.963
YJL147C	-505.009	770.535
nup57-E17	-1279.120	1885.608
FRE6	549.681	2221.435
LAT1	-156.254	215.334
OCA1	195.410	767.129
TSR3	-1208.071	-151.165
SMA2	-954.901	8.872
KIN3	238.195	2107.452
SPI1	-1701.400	1198.007
YDL114W	-1876.736	747.366
SWD1	-1472.102	1562.019
YDL119C	-530.386	213.771
HOS2	-922.575	1632.897
RSM7	-558.218	-49.858
yhc1-3	-939.096	1518.137
SWI5	723.860	2011.462
ded1-95	-2104.821	1661.489
CAT8	-738.066	-326.622
MPP10_damp	-1419.161	705.990
bms1-1	-1683.250	397.465
RPS26B	-1037.314	330.533
YFR017C	-1318.026	1732.349
YLR278C	1037.541	1697.234
YCR007C	-1505.932	245.354
YBR071W	-1773.532	2373.198
YUH1	248.757	1476.552
SSP2	-1115.833	1431.239
nop2-9	-1447.797	586.360
COX10	-503.561	68.233
RNY1	-1672.384	772.369
RLM1	422.023	1838.232
AGE1	840.938	1368.107
BUB1	-1236.564	2706.404
TPK2	-1933.851	631.777
AIM37	-1252.130	866.699
ARE2	547.106	129.757
GCA1	-1518.436	1982.553
MMS4	-540.413	2816.664
prp21-ts	-1478.884	1098.939
taf6-ts	-1200.117	1741.500
sec39-2	-576.894	1400.489
SRC1	-657.290	1534.119
RPS10A	-1123.162	173.330
LRG1	513.926	1929.982
LSC1	-472.271	-212.186
ENB1	1079.263	1305.015
YPL107W	-1990.340	1411.252
YOR097C	822.722	1004.785
IRA2	-49.631	1767.359
YDC1	-1576.925	1455.813
RPS24A	-570.226	369.754
RTS1	-638.585	2274.534
rsc4-2	-699.566	2419.826
RIC1	366.996	1043.044
mex67-ts5	-1176.491	1780.991
ALD5	-337.767	-331.065
COX13	-238.765	-195.377
GLT1	-2065.823	1240.175
RDS1	-1959.230	1532.026
PAA1	-683.200	1.192
YML020W	-785.184	2771.173
SRT1	-789.078	1049.305
PYK2	-983.651	-241.185
PPH3	-451.914	2664.762
ATP11	-462.848	-44.268
ELP3	62.999	2175.647
UBA4	9.444	2141.471
PDR16	-1978.078	879.361
CHA1	-896.761	1555.921
YBR246W	354.033	2312.644
CHS5	297.015	1410.292
HLR1	265.483	-105.205
COX8	-843.005	443.442
tcp1-2	-513.944	2329.639
MGR3	-1452.253	285.783
BEM2	133.559	1783.198
RGP1	354.936	1050.885
PNT1	-931.132	1124.151
YPR090W	503.405	2250.996
srb4-2	-1591.203	1537.769
YTA7	-787.221	1739.832
YHR078W	494.122	1668.525
ost1-6	739.596	1752.383
YPR130C	783.062	895.302
ycs4-1	-1314.746	2453.948
SWC3	-1053.186	1664.736
SPE2	819.809	818.760
SDS3	-1132.006	1136.983
YPT52	163.286	955.924
GCN20	-282.827	-312.026
WHI5	-637.218	1971.380
cdc12-1	-199.711	2017.709
YIR016W	-2007.372	1230.331
YER135C	-1557.352	2561.997
YGL057C	-768.355	-263.118
NOP6	-1095.737	-83.020
tsc11-1	131.018	2706.589
IMH1	391.953	1068.706
RVS167	199.560	1874.229
AIM5	25.659	310.457
YHR045W	-1675.486	352.393
SHR5	-603.655	676.882
VPS55	99.961	1353.319
MAD2	-960.985	2424.428
TMA17	-1204.099	513.416
GAT2	-1077.568	2833.909
MBF1	-1769.340	1168.880
CUP2	-1885.793	2167.923
VPS51	414.682	1160.966
GND2	665.056	758.864
BRR2_damp	616.031	1461.676
