	hom | growth (relative abundance in pooled culture) | camptothecin [200 uM] | Hoepfner D~Movva NR, 2014
YJR111C	-2.383
YMR075C-A	-1.670
YMR019W	-0.490
YBR255W	1.388
YKR011C	0.176
YGR126W	-0.194
YKR036C	-0.651
YKL191W	-0.696
YIL114C	0.138
YMR274C	0.011
YHR076W	0.061
YHR207C	-2.150
YJR039W	-1.065
YJL186W	0.119
YDR537C	-2.282
YHR092C	-0.022
YGL112C	NaN
YOR317W	-0.024
YHR185C	0.108
YPL100W	-0.848
YNL063W	-0.741
YPL048W	-0.019
YBR102C	NaN
YLL049W	-0.846
YML106W	-0.328
YGR019W	0.421
YPR174C	-0.834
YJR014W	1.143
YJL215C	-0.085
YCR084C	0.005
YBR120C	1.123
YHR009C	-0.051
YAL011W	-1.212
YML009C	-0.047
YKL121W	-3.801
YHR153C	-0.753
YNL148C	0.888
YMR318C	-0.059
YMR305C	0.054
YLL019C	0.049
YDR179W-A	-0.003
YBR261C	-0.146
YLR414C	-0.062
YLR124W	0.130
YFL016C	0.267
YBR300C	0.536
YNL250W	-11.791
YMR023C	-0.668
YPL109C	0.088
YJL089W	1.704
YCR045C	0.923
YOL030W	1.294
YER161C	0.074
YJL021C	0.925
YBR051W	-0.140
YOR007C	-0.377
YIR020C	0.187
YOR157C	NaN
YLR443W	0.676
YIL063C	NaN
YGR187C	0.670
YMR147W	-0.627
YGR239C	-0.011
YGR108W	1.704
YCL062W	1.787
YGR058W	0.134
YLR369W	0.775
YDR443C	1.321
YPL211W	NaN
YDL047W	NaN
YBR263W	-0.088
YPR006C	0.077
YLR008C	NaN
YCR048W	-0.472
YMR086W	-0.019
YHR116W	0.196
YOR385W	-0.041
YKL139W	2.340
YCL014W	0.046
YNL271C	-5.168
YJR019C	0.002
YFL028C	-0.726
YDR221W	0.051
YJL132W	-0.680
YFL010C	-0.314
YGL133W	1.391
YER032W	-0.002
YEL016C	0.014
YOR183W	1.007
YOR171C	0.040
YNL076W	0.341
YKR065C	0.163
YCR083W	-0.185
YHR160C	2.023
YLR020C	-0.035
YDL216C	0.002
YDL053C	0.006
YHL033C	0.039
YPL084W	-0.304
YMR125W	NaN
YPR094W	NaN
YBR109C	NaN
YPL026C	0.024
YDR409W	-0.606
YBR173C	-0.019
YLL059C	-0.556
YMR073C	-0.344
YHR112C	0.071
YMR273C	0.380
YNL194C	0.178
YOR050C	0.678
YBR270C	-0.002
YAL022C	-0.024
YOR221C	0.162
YPL165C	-0.459
YMR002W	-0.020
YCL069W	-0.442
YDL128W	0.416
YDR386W	-15.412
YPL054W	0.442
YLR015W	0.696
YDR195W	0.487
YMR284W	-3.604
YJL079C	-0.035
YKL166C	-0.244
YIL160C	0.213
YJL053W	0.622
YDR385W	-0.001
YGR087C	1.212
YDR019C	-0.540
YAR002W	-5.250
YDR378C	-3.850
YGR097W	-0.323
YMR162C	0.019
YKL184W	-0.577
YIR019C	0.002
YMR202W	-5.173
YDR066C	-0.071
YDR049W	-1.374
YIR028W	0.488
YDR421W	-0.089
YNL227C	0.499
YCR106W	-0.226
YHR113W	0.001
YOR290C	2.677
YBR163W	0.604
YPR068C	-0.944
YLR423C	0.069
YBR216C	1.571
YBR117C	NaN
YML010W-A	2.720
YPL025C	0.053
YOR110W	NaN
YLR151C	0.027
YIL161W	0.221
YCR009C	-6.080
YPL219W	0.072
YDR370C	-0.562
YPL241C	0.012
YKR082W	-8.391
YDL179W	0.450
YPL203W	-0.633
YLR416C	0.016
YAL015C	-1.915
YOR172W	0.570
YCR071C	1.720
YKL023W	0.120
YDR533C	3.550
YOL043C	-0.005
YPR191W	0.065
YOR343C	-0.667
YML068W	-1.616
YDR254W	-0.944
YMR088C	-1.241
YNR056C	-0.031
YNL071W	-0.511
YDR033W	0.046
YMR311C	0.068
YMR306C-A	-0.551
YDL242W	-0.052
YMR010W	0.798
YCR020C-A	-1.142
YPL102C	1.908
YMR112C	NaN
YLR101C	NaN
YMR148W	-0.648
YMR062C	-0.032
YFR056C	-1.050
YKR002W	NaN
YGR084C	0.158
YCL037C	-2.088
YOR226C	-0.036
YKR083C	NaN
YMR199W	-0.404
YGL038C	-0.148
YNL023C	0.845
YGR249W	-0.007
YBR066C	0.013
YLR041W	0.116
YPR197C	0.366
YGR042W	-0.574
YML058C-A	-0.582
YFL003C	-1.612
YPL050C	NaN
YJL146W	-0.130
YGL056C	-0.370
YDR487C	NaN
YPL187W	-0.294
YER042W	0.067
YOR064C	0.347
YLR176C	0.366
YLR452C	1.908
YBL075C	-0.680
YJL152W	-0.120
YBL049W	0.084
YGR174C	0.062
YKL145W	NaN
YGR110W	-1.464
YDL138W	0.076
YER140W	-1.003
YHL017W	0.053
YLR324W	0.157
YOR304C-A	0.037
YKR078W	0.025
YAL055W	-0.048
YLR258W	0.216
YDR422C	-0.762
YJL100W	0.179
YNR041C	0.119
YGR154C	0.232
YEL052W	-0.114
YCR034W	0.186
YDR194C	2.930
YNL171C	NaN
YJL177W	2.815
YCL055W	0.735
YOR197W	0.023
YDR229W	1.097
YOR008C	0.157
YMR086C-A	-0.007
YKL174C	0.082
YAR050W	-0.890
YGL216W	-0.391
YPR049C	-0.635
YFL013W-A	0.187
YMR031C	-0.249
YLR212C	NaN
YBL089W	-1.291
YLR111W	3.135
YJR061W	0.222
YBR063C	-0.328
YMR171C	-0.648
YMR078C	NaN
YLL010C	-0.640
YGL168W	-1.511
YFR022W	-0.127
YLR207W	0.859
YDL183C	-2.339
YGR171C	-0.120
YER098W	1.274
YDR463W	0.548
YMR040W	-1.173
YGL138C	-1.333
YBL064C	0.051
YCR102C	-0.031
YBR211C	NaN
YMR272C	1.019
YPL052W	-0.812
YOR036W	0.628
YDL114W	0.062
YHL030W	0.050
YDL176W	0.066
YMR265C	-0.037
YOR129C	1.359
YBR101C	0.275
YNL005C	1.110
YGR093W	-0.453
YER095W	-7.085
YBR299W	0.902
YOL091W	0.129
YKL015W	-0.842
YDR138W	0.454
YER074W	1.711
YDR432W	-2.544
YNL090W	0.090
YLR121C	-0.029
YNL253W	0.018
YHR061C	0.096
YDR284C	0.070
YKL157W	-0.053
YCR075C	-0.032
YPR038W	-1.372
YNL220W	-2.715
YJL101C	0.754
YFL035C-A	NaN
YPL252C	NaN
YNL046W	-0.916
YMR270C	NaN
YCR028C-A	2.378
YGL082W	-0.542
YBL059W	1.041
YOR089C	0.981
YKR101W	0.073
YER057C	0.182
YPL057C	1.887
YMR143W	2.462
YGL129C	0.790
YBR093C	0.008
YCL058C	0.991
YPL104W	2.699
YMR200W	NaN
YKL010C	-0.173
YHL032C	0.171
YML016C	0.078
YLL015W	0.255
YDL074C	-0.024
YDR349C	-0.009
YPR124W	0.306
YLR460C	-0.091
YPR007C	-1.354
YML053C	-1.373
YGR113W	NaN
YBL067C	0.553
YER182W	-0.877
YML056C	NaN
YNR005C	-0.054
YIL023C	0.043
YHL040C	0.730
YBL017C	-0.909
YPR061C	-1.699
YMR251W-A	0.914
YOR112W	0.134
YDR161W	1.121
YBR020W	0.051
YMR255W	0.012
YHR120W	2.515
YDR171W	-1.853
YDR329C	0.018
YBR006W	0.792
YMR269W	2.452
YML097C	0.054
YDL073W	-2.580
YBL095W	-0.193
YIR012W	NaN
YGL140C	0.224
YAL060W	-0.702
YBL086C	-1.463
YOR227W	-0.886
YKL123W	-0.198
YKL110C	0.884
YCL025C	0.542
YOR243C	0.003
YOR142W	0.086
YMR103C	1.292
YDL172C	1.607
YOR334W	-0.001
YNL265C	0.594
YLR309C	0.594
YMR194C-A	-0.012
YML100W	-0.540
YHR117W	0.347
YMR299C	-0.838
YKL201C	-0.013
YOR113W	-0.065
YOR384W	0.798
YEL064C	-0.727
YBR119W	-1.998
YKR056W	0.013
YKL190W	-0.056
YHL026C	-0.438
YBL060W	-0.102
YKL108W	NaN
YJR148W	-0.474
YGL088W	1.901
YER039C-A	-0.234
YGL084C	1.026
YNL226W	2.947
YJL108C	0.053
YBR061C	NaN
YEL031W	0.921
YCL029C	3.597
YML041C	-2.556
YFR055W	-0.086
YER120W	-0.878
YOL092W	-0.231
YJR036C	1.191
YDL182W	1.121
YOL124C	0.531
YPL041C	-1.344
YOR199W	-0.171
YJR117W	0.675
YBR013C	-0.370
YER145C	-1.505
YMR308C	NaN
YLR178C	0.621
YER177W	3.035
YDR153C	-0.013
YPL164C	0.691
YPR115W	-2.168
YDR132C	-1.271
YDL117W	-0.112
YDR403W	-3.537
YBR228W	0.019
YNL201C	-9.712
YHR129C	-1.824
YPR071W	-1.051
YMR226C	-0.015
YPR024W	1.912
YPL198W	-0.057
YKL217W	0.014
YPR020W	-0.115
YOR292C	0.626
YBR114W	0.622
YBR100W	-2.580
YMR238W	-0.029
