	hom | growth (relative abundance in pooled culture) | camptothecin [200 uM] | Hoepfner D~Movva NR, 2014
YIL055C	0.006
YLR034C	0.549
YHR060W	NaN
YBL047C	-0.971
YIL130W	-0.572
YDL197C	-0.784
YOR228C	0.034
YPR111W	0.069
YIL013C	-0.206
YLR348C	0.662
YDR092W	NaN
YDL156W	-0.007
YIR042C	1.423
YMR304W	1.671
YNL199C	3.787
YDR069C	-3.646
YDL180W	1.188
YHR077C	1.163
YMR320W	1.017
YDR535C	0.077
YJL096W	0.313
YKL150W	1.660
YDR257C	-3.178
YPR146C	-2.967
YOL022C	NaN
YJL090C	NaN
YDR268W	4.273
YDR430C	-0.189
YGR038W	-0.129
YDL054C	-0.040
YAL042W	0.005
YBL080C	1.572
YEL049W	-0.054
YHR162W	0.038
YNL159C	0.048
YNL338W	-0.506
YPR097W	-1.082
YJL183W	0.857
YGR211W	NaN
YGL263W	0.605
YFL004W	-0.242
YIL012W	-0.091
YPL037C	-1.336
YPR192W	0.018
YIL134W	-0.071
YHR059W	-0.056
YJL148W	0.993
YER143W	0.983
YBL045C	1.775
YDR063W	-1.088
YPR101W	3.105
YNL064C	NaN
YJL131C	0.188
YNL200C	-0.899
YOR164C	1.749
YGL121C	-0.032
YBR234C	NaN
YHR016C	-0.080
YGL202W	-1.023
YNL130C	-0.026
YDR252W	-1.317
YJR037W	-0.585
YHR039C-B	0.018
YDR344C	-0.024
YNR059W	0.313
YOR006C	1.837
YLL047W	0.002
YDR377W	0.739
YPL139C	-0.901
YER129W	-0.409
YLR125W	-0.749
YPL201C	-0.041
YOR311C	0.383
YNL053W	-0.012
YER169W	-1.709
YNL099C	-1.125
YMR070W	-1.089
YKR105C	0.010
YDR359C	0.118
YOL004W	-1.814
YHL031C	NaN
YMR110C	-0.354
YJL093C	0.017
YJR008W	-0.114
YNL285W	1.008
YBR213W	0.965
YHR019C	NaN
YPR084W	-0.645
YHR111W	2.807
YIL079C	0.072
YGR069W	-0.343
YGL006W	-1.074
YLR112W	-0.697
YPR078C	-1.339
YHR033W	-0.460
YER130C	-0.087
YCR100C	-0.080
YEL017C-A	0.836
YCR033W	0.232
YOR272W	NaN
YML035C-A	-0.091
YGR209C	1.174
YGL114W	-0.514
YPL247C	-0.010
YBR293W	-0.023
YFL010W-A	0.313
YBL031W	-4.390
YMR095C	-0.681
YHR178W	1.623
YOL107W	1.410
YDR446W	0.006
YBR030W	0.264
YPL080C	-0.980
YGL200C	1.545
YPL236C	-0.395
YHR109W	0.729
YNL239W	-0.846
YGL090W	0.065
YAL046C	-0.005
YML071C	3.083
YAL007C	-0.002
YLR398C	1.017
YGL118C	-0.094
YOR091W	0.139
YJL020C	0.286
YDR391C	-1.171
YER131W	2.113
YML119W	-2.228
YDL037C	-0.169
YNL273W	-7.920
YDR249C	0.006
YNL192W	NaN
YLR303W	NaN
YOR080W	-0.007
YKR018C	-0.038
YOL114C	-1.247
YDL023C	-0.455
YIL078W	NaN
YBR279W	NaN
YOL139C	NaN
YHR139C	0.205
YGR220C	1.183
YBR191W	1.195
YDR509W	-0.001
YHR204W	0.019
YOR234C	1.638
YLR089C	0.284
YMR193W	5.790
YBR295W	0.722
YOR101W	-0.685
YKL132C	0.086
YML048W-A	0.171
YAL037W	1.150
YGR146C	-1.537
YNL154C	0.318
YBR224W	-0.108
YOR327C	-1.417
YER045C	0.215
YMR064W	2.245
YLR400W	0.514
YJR133W	-0.852
YPL161C	0.327
YPL094C	NaN
YBR207W	-0.052
YDR290W	-1.634
YLR123C	-0.838
YGL004C	-1.119
YJL029C	1.184
YGR122W	-1.979
YLR340W	NaN
YKR004C	NaN
YCR101C	-0.288
YGL159W	0.003
YDR139C	-5.790
YDR530C	-0.001
YPR064W	-0.290
YPL065W	-0.092
YDR451C	0.197
YNL191W	0.107
YJL206C	-1.104
YHL016C	0.008
YOR042W	-0.447
YLR203C	-0.085
YML090W	-0.967
YLR040C	0.303
YKR039W	-0.344
YGR200C	2.644
YDL202W	2.988
YKL140W	-0.654
YHR095W	0.857
YPR128C	0.002
YOR150W	-1.446
YAL054C	-0.061
YAL001C	0.170
YEL044W	-5.284
YDR413C	NaN
YDR540C	-4.240
YDL215C	-0.985
YDR003W	0.102
YDR491C	0.016
YNR033W	-1.415
YJL121C	0.537
YER124C	-1.210
YPL081W	0.036
YPR069C	0.000
YPR051W	-0.202
YOR211C	2.971
YGR219W	1.612
YDL185W	-1.302
YOR345C	-0.079
YHR181W	0.433
YLR073C	-0.036
YER075C	-0.135
YNR030W	-0.617
YKL086W	0.183
YAL059W	0.656
YDR237W	0.908
YNL296W	0.310
YDL140C	NaN
YDR350C	2.397
YAL027W	-1.405
YPR065W	-0.005
YJR051W	-0.615
YOR283W	-1.317
YOR108W	-0.221
YOL067C	0.007
YLR224W	0.122
YJL155C	-3.190
YDL212W	NaN
YML058W	-0.178
YHR042W	-0.587
YGL161C	0.018
YDL109C	0.043
YGR022C	-0.038
YJL168C	-3.317
YPR132W	2.372
YMR129W	-0.092
YGR250C	0.829
YDR186C	-0.009
YER059W	0.291
YMR234W	-1.005
YOR275C	-1.200
YGR242W	-0.724
YLR358C	2.228
YJL051W	0.039
YLR067C	0.062
YHR082C	-0.513
YNR012W	2.599
YHR156C	-0.006
YHR110W	1.553
YPL156C	0.001
YNL268W	0.356
YIR003W	0.605
YHR121W	-0.717
YLR058C	0.950
YML042W	-0.305
YBL106C	-0.006
YFL015C	-0.048
YOL121C	-0.010
YHL035C	0.081
YIL065C	0.165
YPL152W	-4.062
YBL096C	-0.900
YPR044C	0.672
YBR048W	2.150
YJL002C	NaN
YPR010C	NaN
YMR219W	0.160
YKL003C	3.710
YOL055C	-1.332
YCL023C	-0.165
YLR317W	NaN
YNL269W	0.239
YLR068W	3.199
YOL153C	-0.016
YML046W	NaN
YDL059C	-12.310
YML122C	1.306
YGL072C	2.759
YOR191W	0.818
YOR038C	0.032
YLR435W	0.290
YIL098C	0.974
YAR023C	-0.457
YML026C	1.139
YPL167C	1.385
YLR360W	-1.766
YCL024W	-0.579
YKR053C	0.006
YGR215W	0.330
YDR346C	0.072
YBR099C	-17.882
YOL071W	-0.426
YMR258C	0.682
YCL026C-A	-0.483
YBR222C	-0.165
YOR034C	0.112
YMR206W	-0.704
YIL035C	-1.993
YDR089W	-0.404
YOR012W	-1.145
YOL010W	NaN
YNL321W	0.008
YKL208W	0.035
YBR057C	0.610
YDL090C	0.812
YGR143W	1.926
YPR076W	-0.017
YDR140W	3.330
YEL056W	0.086
YGR145W	NaN
YML107C	1.193
YNR028W	0.844
YHR068W	NaN
YLR042C	-0.007
YOL023W	2.530
YJL159W	-1.355
YKL117W	-0.209
YDR538W	0.030
YCR082W	-0.023
YPR170C	-3.169
YAL045C	-0.266
YOR121C	0.066
YGL205W	-0.826
YGL049C	0.173
YPR067W	0.735
YNL274C	-1.143
YLR241W	0.038
YOR071C	0.002
YGR163W	1.943
YPR179C	-1.529
YOL046C	-0.507
YLR285W	0.135
YGL115W	-1.934
YJR094W-A	0.610
YOR338W	0.255
YIL168W	-0.815
YPR087W	4.764
YDR224C	NaN
YOL008W	0.340
YDL186W	-0.011
YPL132W	2.434
YDR118W	NaN
YIL131C	-0.546
YFL020C	-0.981
YHR067W	0.914
YGR251W	NaN
YKL167C	0.341
YFL034C-A	-1.520
YDL020C	0.333
YJR107W	-0.544
YCL040W	1.486
YPL191C	-0.014
YML055W	-0.051
YGR026W	-0.071
YPL056C	0.778
YML087C	-0.218
YDR163W	-0.798
YCL008C	-1.620
YMR207C	-0.292
YJL094C	-0.813
YDL240W	0.237
YDL204W	0.083
YLR420W	-0.013
YJR113C	1.050
YJL137C	-0.002
YAL061W	-1.336
YDR157W	0.262
YDL234C	-0.065
YOL036W	1.102
YPL258C	-0.352
YNL100W	0.788
YLR150W	-0.010
YIL041W	-0.747
YGL058W	0.253
YPL103C	-0.100
YNR069C	0.032
YBR084C-A	-0.221
YGL023C	2.729
YJR068W	NaN
YBR058C	-2.637
YCL010C	-0.016
YPL091W	1.449
YKL216W	0.282
YOR097C	-0.425
YMR192W	0.862
YDR247W	-0.226
YPR066W	-5.397
YOR055W	0.784
YML006C	0.617
YLR428C	0.639
YDR034C	-0.003
YNL145W	0.009
YPR196W	0.140
YBL098W	-0.572
YML094W	0.522
YHR049C-A	-1.204
YDR320C	1.252
YCL039W	0.007
YPR176C	NaN
YDR312W	0.624
YMR236W	NaN
YGL148W	0.013
YOR069W	0.366
YMR241W	-0.020
YHR137W	0.009
YFR011C	-0.037
YKR049C	0.006
YCL060C	-0.091
YOR076C	0.659
YCR047C	1.017
YJR152W	-0.002
YJL065C	0.414
YML013W	-1.252
YDL241W	0.035
YKR051W	-0.451
YDR119W	-1.059
YBL070C	-0.061
YFL043C	0.814
YBR134W	-1.629
YGL007W	-0.830
YOR028C	-0.459
YMR127C	1.608
YDL198C	0.106
YDR126W	0.170
YEL037C	-0.531
YDR319C	1.594
YGR033C	0.053
YML012W	0.807
YJL151C	-0.491
YIR007W	0.388
YBR047W	-0.086
YOL162W	-1.162
YDR481C	0.013
YKR094C	-0.025
YGR168C	0.834
YFL023W	0.272
YDR032C	-0.103
YKL168C	-0.172
YHR035W	-0.818
YPR027C	-0.893
YJR030C	-0.856
YGL198W	-0.004
YOR111W	0.431
YPR157W	-1.780
YDR006C	-0.057
YMR020W	-0.485
YPL032C	-0.493
YMR262W	1.099
YGR141W	-0.405
YPL148C	0.082
YOR254C	NaN
YDR110W	-0.711
YDR525W-A	-0.327
YLR202C	1.632
YPR055W	NaN
YCL005W	-3.099
YHR194W	3.135
YKL142W	0.646
YDR397C	NaN
YMR052C-A	0.224
YDR030C	-0.034
YNR032C-A	0.007
YBR077C	0.003
YLR362W	NaN
YML103C	-3.081
YCR011C	-0.069
YKR032W	0.306
YDL004W	NaN
YAL030W	-0.396
YCR003W	2.297
YGL127C	-0.138
YDR507C	0.078
YDL146W	-0.440
YCR090C	-0.661
YHL006C	-2.349
YER004W	-0.684
YBR139W	-0.303
YJR069C	0.019
YGR217W	-0.177
YLR171W	0.700
YBR026C	1.069
YPR201W	0.118
YOR298W	-0.385
YOL053W	-0.341
YMR101C	-0.006
YJL122W	0.018
YJL153C	-0.953
YIL052C	0.730
YGR155W	NaN
YML080W	0.053
YOR025W	-2.523
YKL077W	-0.343
YPR198W	2.144
YHR073W	-0.462
YDL168W	-0.012
YMR176W	0.007
YNL121C	0.776
YOL109W	-0.167
YBR259W	0.028
YBL078C	-0.240
YPL256C	-0.973
YNL108C	-0.582
YML083C	-1.286
YBL006C	0.116
YIL087C	1.100
YOR248W	0.373
YCR053W	-0.002
YOL108C	0.034
YOR267C	-0.366
YDL051W	-0.168
YDR287W	-0.002
YHL037C	0.259
YFL007W	0.017
YER137C	1.230
YDR190C	NaN
YIL084C	-0.466
YGL230C	0.303
YJL133W	1.015
YGR232W	-0.952
YPR054W	-0.884
YGR236C	-0.115
YFR019W	0.065
YER181C	-0.883
YDL208W	NaN
YLR306W	-5.250
YML001W	-0.483
YGR212W	0.007
YNL089C	-1.093
YML014W	0.183
YER104W	NaN
YCL075W	-1.113
YPL035C	0.115
YNL254C	-0.072
YHL046C	-0.012
YAL008W	0.615
YDR440W	1.503
YNL157W	-0.112
YOL063C	0.001
YOL053C-A	-0.826
YPL226W	0.598
YMR121C	-3.274
YLR165C	0.341
YIL088C	0.112
YHR147C	3.930
YGL083W	-0.499
YBR074W	0.023
YOR288C	0.695
YDR363W	-1.498
YGL132W	0.282
YNL111C	-0.599
YLR084C	-0.660
YML081W	0.016
YGR238C	-0.621
YFL030W	-0.936
YOR351C	-0.332
YNL230C	0.115
YOR147W	NaN
YJL083W	0.082
YEL020C	0.207
YDR513W	0.769
YGR197C	0.662
YFR046C	-1.117
YML005W	-0.250
YPR166C	0.386
YLR078C	NaN
YMR138W	0.386
YLR180W	0.128
YKL202W	-0.475
YHR138C	-0.338
YJL164C	-0.389
YML032C	-8.241
YPR148C	-0.007
YOL106W	1.167
YMR310C	-0.051
YPL060W	0.027
YAR020C	-0.452
YDL178W	1.078
YDL229W	-0.778
YEL017W	0.007
YIL044C	-0.019
YHR057C	1.318
YPL266W	NaN
YPL157W	1.392
YNL072W	-0.146
YJL209W	2.941
YKL213C	-2.066
YNL155W	0.203
YOR365C	0.008
YNR031C	-0.213
YDL161W	0.843
YLR434C	-0.001
YBR092C	0.986
YOR304W	2.020
YIL125W	-0.056
YDR523C	-0.212
YBL053W	-0.029
YJR129C	-2.807
YJR010C-A	0.030
YMR167W	0.932
YDL009C	0.000
YDR084C	-0.251
YCL028W	0.336
YGR008C	-0.008
YPR188C	-0.990
YPL271W	NaN
YLR279W	-0.198
YML034W	-0.647
YKR016W	0.015
YDR081C	NaN
YNL091W	-2.118
YBR176W	-0.230
YLR272C	NaN
YJL129C	0.055
YPL253C	0.450
YMR169C	0.370
YLR055C	NaN
YIL164C	0.594
YGL063W	0.019
YLR280C	-0.051
YOR192C	-0.014
YOR155C	0.001
YER039C	1.817
YKL012W	NaN
YMR042W	-0.020
YLR386W	0.026
YDR143C	-1.646
YOL111C	-1.583
YIL022W	NaN
YDR417C	1.148
YDL046W	-0.006
YLR018C	0.056
YCR062W	-3.350
YLR264W	-0.029
YER080W	0.200
YBR014C	-0.502
YJL139C	0.430
YPL182C	-0.150
YFL053W	0.489
YAL013W	-1.749
YNR057C	-0.003
YDR517W	-0.049
YOR358W	-0.049
YOL070C	0.742
YOR386W	1.369
YLR318W	-0.824
YLR027C	NaN
YPL249C	0.014
YDR162C	-2.300
YLR016C	1.119
YKL113C	-5.804
YAL012W	NaN
YDR411C	-0.679
YFL031W	-0.092
YDR013W	NaN
YCR004C	-0.317
YLR377C	-0.915
YBL044W	0.025
YLR003C	0.051
YIL092W	0.669
YER066C-A	0.953
YDL142C	0.004
YPL029W	0.794
YMR180C	1.213
YMR071C	-0.881
YLR017W	0.773
YGL015C	-0.960
YAL031C	0.435
YMR015C	-1.587
YBR121C	NaN
YHR105W	2.147
YMR221C	-0.037
YHR206W	0.201
YPL108W	0.604
YKR035W-A	-0.394
YNL324W	0.024
YGL028C	-0.060
YNL332W	-0.129
YBR071W	-1.227
YGL109W	-0.273
YPR100W	1.063
YEL038W	0.011
YBR116C	0.225
YIL085C	-0.292
YDL164C	NaN
YLR013W	0.528
YNL328C	-1.186
YHL045W	0.666
YGL054C	-2.396
YPR200C	-0.058
YMR116C	-2.737
YLR346C	-0.249
YER034W	0.202
YGL233W	NaN
YDR334W	-0.542
YGL143C	2.231
YHR171W	0.267
YMR306W	1.174
YJR115W	0.107
YBR274W	NaN
YBR107C	-0.246
YLR090W	-0.973
YKL085W	-1.105
YBR221C	0.183
YNL168C	-0.034
YLR177W	-0.930
YLR439W	1.793
YDR518W	0.461
YPL177C	-0.107
YMR120C	0.000
YLR208W	NaN
YFR024C	1.151
YDR497C	-0.379
YKR052C	-0.845
YEL061C	1.519
YCL035C	0.485
YLR250W	-0.856
YPL183C	0.371
YJL027C	0.387
YEL042W	1.834
YBR280C	0.816
YML035C	0.338
YDL036C	-0.892
YIR017C	-1.919
YAL065C	0.013
YNR045W	0.518
YGR149W	-1.538
YBR009C	-1.344
YHR079C-B	-1.242
YCL030C	-0.248
YLR134W	-0.922
YNR055C	-1.361
YCL063W	2.519
YPR004C	-0.706
YIR008C	NaN
YLL045C	2.995
YNL311C	0.015
YDR348C	-1.798
YJR110W	-0.314
YHR140W	-0.364
YGR018C	-0.022
YBR033W	-0.046
YJL078C	0.022
YKL075C	-2.784
YKR044W	0.004
YMR119W-A	0.435
YNL319W	0.563
YBL011W	0.177
YPL118W	2.878
YML060W	-0.209
YDL050C	-0.571
YML102W	-0.587
YHR177W	-0.050
YJR010W	0.357
YPR145W	-0.337
YPR050C	-0.907
YBR185C	0.147
YBR001C	-0.340
YHR131C	0.002
YJL038C	1.785
YPL021W	0.577
YKL118W	2.857
YMR292W	-0.008
YLR174W	0.045
YBL084C	NaN
YDR266C	-0.502
YMR209C	-1.504
YER073W	0.253
YNL190W	0.076
YKL188C	-0.821
YPR062W	1.230
YNR039C	-0.018
YJR091C	-0.043
YDR369C	-11.160
YBR010W	0.000
YCL048W	0.101
YNL068C	-3.706
YAL051W	-0.815
YAL020C	2.116
YCL041C	NaN
YIR024C	0.650
YNL001W	-0.030
YBR126C	0.500
YML013C-A	3.334
YHR010W	3.030
YDR401W	-1.300
YGR196C	-1.298
YGR080W	0.543
YER134C	0.002
YCL046W	-0.797
YMR251W	-0.966
YLL043W	-4.988
YKR057W	0.027
YKR088C	-0.061
YKL119C	0.120
YMR011W	-0.663
YLR191W	0.195
YLR139C	3.147
YML018C	-0.050
YDL137W	-0.921
YCR081W	0.555
YOL039W	2.935
YLL062C	-0.038
YIL162W	0.535
YIL119C	-0.054
YFR032C-A	2.750
YKR079C	NaN
YHR124W	2.888
YDR073W	-0.009
YER139C	0.059
YPL136W	-0.171
YNL047C	-1.053
YFR017C	-0.062
YER151C	0.061
YEL067C	-0.002
YNL183C	0.519
YNL128W	-1.142
YIL108W	0.005
YDR134C	-0.607
YML129C	-3.456
YGR102C	1.443
YOR174W	NaN
YDL080C	-1.065
YPL138C	0.264
YLR444C	0.985
YDR447C	1.260
YNL123W	-0.017
YMR107W	-0.192
YLR329W	-2.029
YJR140C	0.614
YFL024C	NaN
YDR374C	-0.801
YOR352W	-0.364
YOL113W	0.012
YEL043W	1.010
YMR158W-A	0.007
YMR188C	3.892
YDR172W	NaN
YCR050C	1.603
YLR352W	-0.705
YOR180C	0.002
YPR037C	-1.079
YBR150C	0.038
YDR017C	2.570
YBR025C	0.663
YLR056W	-0.317
YGL117W	1.512
YOR376W	0.774
YHR087W	1.726
YNR036C	1.002
YER111C	1.182
YOR313C	1.268
YDR388W	-9.802
YML030W	-0.001
YGR017W	-0.315
YDR347W	4.258
YNL329C	0.551
YOL137W	-0.675
YPR123C	-2.307
YML102C-A	-0.786
YDR043C	0.728
YPL246C	0.283
YNL299W	-0.066
YLR375W	-0.003
YIL112W	1.619
YCL064C	0.214
YGR244C	-0.262
YKL007W	0.019
YGL208W	-1.551
YLR390W-A	0.011
YER056C-A	0.211
YNR002C	-0.821
YMR252C	-0.008
YDR256C	0.365
YAL017W	0.657
YPL170W	-0.306
YLL029W	0.081
YGR194C	-0.007
YDL062W	2.229
YDR476C	0.259
YLR313C	-0.532
YKL214C	-0.055
YER058W	1.280
YNR025C	-1.195
YIL156W	0.280
YMR193C-A	1.387
YKL155C	0.315
YJL160C	-1.166
YIL091C	NaN
YGL062W	-0.152
YLR350W	-0.453
YFL032W	0.016
YLR093C	1.443
YDL067C	-0.110
YKL084W	0.017
YCR065W	-0.099
YOR090C	-0.432
YBR147W	-0.854
YMR183C	0.034
YKL128C	-1.118
YJR105W	4.232
YGR064W	1.307
YDR426C	-0.025
YKR038C	NaN
YNL205C	1.699
YDR090C	-1.302
YJL172W	-0.376
YCR049C	1.870
YOL014W	-1.104
YGR148C	4.423
YOR377W	-1.020
YCR032W	-0.060
YPL089C	1.268
YGR059W	1.205
YGR078C	NaN
YPR155C	-0.986
YOL049W	1.593
YGR189C	-0.037
YBR248C	0.219
YJL170C	-0.003
YKL131W	-0.533
YHR191C	NaN
YPR043W	0.252
YER150W	0.791
YER144C	-0.276
YBL100C	1.320
YJR118C	0.572
YOR344C	1.065
YHL044W	-3.092
YGL228W	0.023
YFL049W	0.021
YER063W	-0.599
YDR007W	1.220
YPR032W	-0.082
YMR250W	-0.692
YGL220W	0.239
YMR149W	NaN
YKL055C	NaN
YOL072W	-4.196
YMR181C	-0.532
YNL027W	1.519
YIR013C	-0.073
YHR078W	0.005
YHR104W	-3.835
YBR023C	-0.898
YOR166C	-0.144
YJR072C	NaN
YDL191W	2.856
YFL044C	-1.278
YKL196C	NaN
YBL085W	0.209
YDL162C	0.016
YKL163W	-0.727
YER110C	2.771
YOR070C	0.013
YDR459C	-0.156
YOR320C	0.365
YGR246C	NaN
YEL047C	0.076
YOR381W	0.778
YDL083C	0.127
YMR293C	1.075
YBR130C	1.644
YMR016C	0.660
YDR077W	-0.749
YKR010C	-0.435
YGR290W	0.732
YCR008W	-0.240
YML062C	-1.111
YKL028W	NaN
YLR106C	NaN
YAL034C	1.272
YPR160W	0.034
YLR006C	1.796
YDR306C	1.269
YPL205C	-0.102
YMR006C	-0.750
YLR226W	0.400
YLR094C	-0.005
YER109C	-0.382
YOR045W	1.088
YJL165C	-1.517
YJL080C	0.069
YCR024C-A	0.269
YDL071C	-1.225
YDL024C	-1.086
YBR164C	-0.070
YPL232W	-0.644
YJR146W	-0.630
YDR075W	-9.769
YML096W	0.884
YML089C	2.145
YOL045W	0.551
YOR163W	-0.144
YCR016W	0.276
YDR458C	0.525
YBR188C	0.568
YBR052C	-0.159
YKL114C	-4.292
YIL017C	2.319
YNL093W	0.039
YMR244W	0.663
YMR239C	NaN
YJR120W	-0.972
YER163C	-0.943
YKR080W	0.202
YGR166W	1.167
YDL089W	0.026
YGR136W	-0.560
YDR165W	-0.004
YPR022C	-0.220
YGL042C	-1.692
YNR049C	0.458
YAL019W	-5.356
YBR149W	-0.503
YPL133C	-0.504
YGL021W	-0.091
YPR171W	-2.474
YIL166C	-1.007
YMR007W	-0.674
YPL230W	0.009
YOL141W	-0.114
YDR218C	0.104
YMR077C	-0.014
YFR016C	-0.003
YPL239W	NaN
YDL091C	-0.649
YBR278W	-0.165
YBR235W	0.065
YKR072C	-0.448
YGR255C	0.352
YER165W	NaN
YDL118W	-0.135
YDR269C	-0.066
YAL068C	-0.379
YDR099W	0.004
YBR186W	0.441
YPR075C	-1.781
YMR135C	-0.007
YKL200C	0.259
YHR037W	0.135
YGL125W	-0.002
YER046W-A	0.120
YML017W	-1.948
YDR197W	0.001
YJL149W	-0.008
YGR213C	-0.308
YJR126C	-0.019
YGR173W	1.056
YPL112C	-0.162
YPL086C	2.243
YDR362C	NaN
YOR235W	0.924
YPL058C	0.363
YDR400W	-0.024
YDL130W	0.119
YDR418W	1.005
YLR240W	0.173
YIL060W	2.226
YKL044W	-0.127
YDR200C	-1.536
YER090W	-0.636
YMR056C	0.063
YFL037W	NaN
YPL231W	NaN
YHR011W	1.922
YGR054W	1.484
YMR052W	-0.024
YHR209W	-0.610
YER062C	0.064
YLR392C	-0.155
YMR034C	-0.130
YNL249C	-0.168
YDR008C	0.096
YFR025C	-0.390
YDL201W	0.721
YOR284W	-0.806
YNL070W	-0.025
YFL011W	1.803
YEL010W	-0.028
YMR253C	0.040
YDR005C	-0.053
YLL012W	0.103
YIL099W	-0.026
YMR039C	-3.011
YNR013C	-0.099
YJR127C	-0.229
YBR084W	0.221
YIR023W	1.154
YBR244W	1.194
YMR017W	-0.066
YJL055W	-0.557
YPL002C	-0.383
YLR069C	2.909
YPL134C	0.105
YDL233W	0.935
YHR024C	NaN
YDL025C	0.005
YPR193C	0.429
YOR160W	NaN
YLL048C	0.007
YDL231C	0.017
YOR082C	-0.124
YDR527W	NaN
YOR299W	NaN
YNL092W	-0.021
YBL046W	-4.333
YCL050C	0.092
YNL306W	NaN
YGR205W	-0.076
YDR298C	2.726
YEL057C	-0.001
YBL071C	1.623
YLR331C	-2.343
YBL013W	-0.076
YOR302W	-0.013
YOL026C	NaN
YPR072W	NaN
YPL040C	0.928
YOL089C	-0.017
YGL025C	-2.283
YOR206W	NaN
YJL012C	0.414
YER044C	NaN
YMR233W	0.298
YLR441C	0.182
YNL044W	-0.121
YDR291W	-2.921
YOR188W	0.021
YMR111C	-0.184
YFR038W	0.007
YHL047C	0.015
YHL009C	-0.025
YGL197W	-0.238
YKR035C	-0.028
YGL078C	0.258
YMR260C	NaN
YLR149C	0.742
YLL053C	0.328
YIL136W	-0.086
YER060W-A	-1.061
YMR154C	-2.188
YML011C	-0.022
YDL058W	NaN
YLR230W	NaN
YPR060C	NaN
YDR078C	-2.921
YOL078W	NaN
YBL081W	-2.655
YLR021W	-0.205
YDR250C	0.063
YDR289C	-2.235
YML079W	NaN
YPL213W	0.804
YDL205C	NaN
YJR145C	-0.912
YJL210W	0.484
YIL010W	-0.006
YDL001W	-0.280
YAR047C	0.547
YGR272C	1.624
YER187W	-0.245
YDL096C	0.369
YDR076W	-13.395
YDL134C	-0.257
YLR136C	-0.952
YDR074W	1.607
YNR060W	-0.902
YOR350C	-0.791
YKL158W	-0.971
YMR179W	-2.876
YKL169C	2.084
YKL048C	-4.572
YAR030C	-0.302
YCR077C	-12.475
YCL056C	0.087
YDL021W	-2.592
YNL116W	-0.252
YGR288W	0.010
YOR380W	0.439
YPR194C	0.003
YPR158W	-0.428
YKR074W	2.294
YJL141C	1.328
YDR219C	0.990
YCR030C	-0.197
YOL011W	0.022
YDR061W	-0.032
YBL051C	0.000
YJL182C	-0.589
YPL017C	0.407
YNL149C	NaN
YAL024C	-4.334
YLL021W	1.145
YDL175C	0.952
YDL022W	-0.093
YOR239W	-0.712
YBR257W	NaN
YLR046C	-0.592
YJL045W	0.180
YDR506C	0.465
YAL018C	0.310
YEL036C	0.523
YOR010C	-0.523
YMR254C	-0.014
YDR424C	-0.005
YBR217W	0.694
YLL051C	-0.008
YLL030C	-0.120
YFL042C	-1.303
YDL124W	0.232
YPL259C	-0.005
YDL095W	-1.893
YOR229W	-0.980
YOL125W	NaN
YGL014W	0.030
YER060W	0.013
YNL065W	-0.192
YKL018W	NaN
YDR295C	-2.240
YDR512C	0.782
YDL237W	1.147
YNL202W	-0.165
YMR266W	NaN
YKL102C	-0.911
YPR090W	0.001
YNL262W	NaN
YHR094C	2.061
YDR251W	0.042
YMR139W	-1.153
YLR064W	0.000
YGL163C	-14.301
YGL031C	0.428
YDR379W	-0.836
YGR121C	0.265
YDR010C	-2.349
YKR064W	-0.839
YBR015C	0.192
YML029W	-0.129
YOL118C	-0.343
YKL120W	-0.110
YDL122W	0.011
YML028W	-0.395
YIL006W	0.372
YNL032W	0.712
YCR107W	0.687
YOL155C	-0.067
YFR014C	0.011
YHR026W	0.389
YBR141C	-0.030
YOR329C	NaN
YDL149W	0.020
YHR139C-A	-0.902
YOL009C	0.017
YER174C	0.032
YDL085W	-0.318
YKL220C	-0.540
YDR125C	0.996
YJL062W	0.937
YGL110C	-0.255
YDR469W	0.084
YKR012C	-0.017
YLR133W	-0.030
YGL221C	-0.028
YLR442C	NaN
YDR102C	-0.705
YIR031C	1.532
YPR029C	-0.390
YML025C	NaN
YBR024W	-0.731
YJL185C	-1.131
YCL036W	0.056
YCL013W	0.005
YMR106C	-2.597
YBR138C	0.067
YHL011C	1.548
YER154W	0.720
YBL088C	-4.857
YMR304C-A	-0.405
YLR244C	0.014
YDL032W	0.091
YAR014C	-0.010
YDL188C	-0.809
YPL155C	-1.168
YOR204W	NaN
YLR218C	0.046
YHR125W	-0.590
YBR268W	2.792
YPR033C	NaN
YOR182C	2.198
YMR165C	NaN
YJL198W	0.215
YDL207W	NaN
YDR014W	-5.873
YLL052C	0.138
YPR109W	0.242
YOL031C	0.040
YER171W	NaN
YOL003C	-1.641
YLR217W	-1.682
YDR104C	-0.007
YHR018C	-0.741
YGR052W	0.308
YEL059W	0.514
YCR085W	0.720
YLR343W	-0.592
YNR061C	0.064
YIL124W	0.277
YKL072W	0.014
YGR071C	0.343
YDR135C	-1.140
YER113C	0.055
YGL080W	1.263
YOR049C	0.013
YJL071W	-1.026
YPL215W	0.106
YPL120W	-0.026
YLL016W	1.015
YDL078C	-0.087
YGR281W	2.305
YOR115C	0.021
YDR244W	0.039
YOL131W	-0.193
YNL012W	-0.032
YBR182C	-0.293
YLR148W	0.065
YLR104W	0.142
YBL091C-A	-0.011
YCR061W	3.248
YNL156C	NaN
YKL147C	-0.392
YDR486C	-0.007
YCR046C	NaN
YPR059C	-0.776
YLR353W	-0.463
