Gene ID	Gene systematic name	Gene common name	NPV hap alpha | growth (spot assay) | standard | YPG [3%] | Merz S~Westermann B, 2009
6183	YER014C-A	BUD25	-3.90563
24	YAL026C	DRS2	-3.90563
222	YBR026C	ETR1	-3.90563
603	YCR046C	IMG1	-3.90563
5544	YOR332W	VMA4	-3.90563
5144	YOL095C	HMI1	-3.90563
5145	YOL096C	COQ3	-3.90563
6125	YLL018C-A	COX19	-3.90563
3361	YJL120W	YJL120W	-3.90563
4028	YLR337C	VRP1	-3.90563
3362	YJL121C	RPE1	-3.90563
705	YEL050C	RML2	-3.90563
1891	YDL012C	YDL012C	-3.90563
3502	YJR040W	GEF1	-3.90563
860	YER131W	RPS26B	-3.90563
706	YEL051W	VMA8	-3.90563
4060	YLR369W	SSQ1	-3.90563
1778	YFL016C	MDJ1	-3.90563
3745	YLR056W	ERG3	-3.90563
6002	YPR116W	RRG8	-3.90563
119	YBL031W	SHE1	-3.90563
120	YBL032W	HEK2	-3.90563
124	YBL036C	YBL036C	-3.90563
2464	YDR337W	MRPS28	-3.90563
1342	YIL157C	COA1	-3.90563
5684	YPL078C	ATP4	-3.90563
873	YER145C	FTR1	-3.90563
5412	YOR200W	YOR200W	-3.90563
3100	YGR155W	CYS4	-3.90563
1912	YDL033C	SLM3	-3.90563
2751	YGL070C	RPB9	-3.90563
2752	YGL071W	AFT1	-3.90563
882	YER154W	OXA1	-3.90563
883	YER155C	BEM2	-3.90563
5517	YOR305W	RRG7	-3.90563
3949	YLR260W	LCB5	-3.90563
1917	YDL039C	PRM7	-3.90563
4271	YML110C	COQ5	-3.90563
818	YER087W	AIM10	-3.90563
6009	YPR123C	YPR123C	-3.90563
1922	YDL044C	MTF2	-3.90563
6093	YDL045W-A	MRP10	-3.90563
133	YBL045C	COR1	-3.90563
4073	YLR382C	NAM2	-3.90563
4137	YLR447C	VMA6	-3.90563
1977	YDL099W	BUG1	-3.90563
134	YBL046W	PSY4	-3.90563
5703	YPL097W	MSY1	-3.90563
5860	YPL254W	HFI1	-3.90563
1438	YKL040C	NFU1	-3.90563
1934	YDL056W	MBP1	-3.90563
1985	YDL107W	MSS2	-3.90563
2256	YDR129C	SAC6	-3.90563
4282	YML120C	NDI1	-3.90563
5543	YOR331C	YOR331C	-3.90563
2491	YDR364C	CDC40	-3.90563
141	YBL053W	YBL053W	-3.90563
2672	YEL059C-A	SOM1	-3.90563
1945	YDL067C	COX9	-3.90563
1946	YDL068W	YDL068W	-3.90563
1992	YDL114W	YDL114W	-3.90563
1853	YHR039C-A	VMA10	-3.90563
2137	YDR010C	YDR010C	-3.90563
1005	YHR038W	RRF1	-3.90563
1006	YHR039C	MSC7	-3.90563
5362	YOR150W	MRPL23	-3.90563
5399	YOR187W	TUF1	-3.90563
1955	YDL077C	VAM6	-3.90563
5754	YPL148C	PPT2	-3.90563
3306	YJL063C	MRPL8	-3.90563
5592	YOR380W	RDR1	-3.90563
145	YBL057C	PTH2	-3.90563
3959	YLR270W	DCS1	-3.90563
4245	YML087C	AIM33	-3.90563
4639	YNL005C	MRP7	-3.90563
4686	YNL052W	COX5A	-3.90563
4392	YMR097C	MTG1	-3.90563
4393	YMR098C	ATP25	-3.90563
2152	YDR025W	RPS11A	-3.90563
1969	YDL091C	UBX3	-3.90563
2007	YDL129W	YDL129W	-3.90563
792	YER061C	CEM1	-3.90563
1377	YIR021W	MRS1	-3.90563
2011	YDL133W	SRF1	-3.90563
5665	YPL059W	GRX5	-3.90563
4706	YNL073W	MSK1	-3.90563
6203	YJL062W-A	COA3	-3.90563
150	YBL062W	YBL062W	-3.90563
4948	YNL315C	ATP11	-3.90563
5794	YPL188W	POS5	-3.90563
5433	YOR221C	MCT1	-3.90563
1507	YKL109W	HAP4	-3.90563
2575	YDR448W	ADA2	-3.90563
3289	YJL046W	AIM22	-3.90563
5249	YOR036W	PEP12	-3.90563
2919	YGL237C	HAP2	-3.90563
8	YAL010C	MDM10	-3.90563
5570	YOR358W	HAP5	-3.90563
2926	YGL244W	RTF1	-3.90563
1453	YKL055C	OAR1	-3.90563
2585	YDR458C	HEH2	-3.90563
3050	YGR105W	VMA21	-3.90563
3244	YHR049C-A	YHR049C-A	-3.90563
2036	YDL157C	YDL157C	-3.90563
1517	YKL119C	VPH2	-3.90563
2933	YGL251C	HFM1	-3.90563
168	YBL080C	PET112	-3.90563
5651	YPL045W	VPS16	-3.90563
170	YBL082C	ALG3	-3.90563
3165	YGR220C	MRPL9	-3.90563
679	YEL024W	RIP1	-3.90563
3167	YGR222W	PET54	-3.90563
476	YBR282W	MRPL27	-3.90563
477	YBR283C	SSH1	-3.90563
7	YAL009W	SPO7	-3.90563
3057	YGR112W	SHY1	-3.90563
3417	YJL176C	SWI3	-3.90563
178	YBL090W	MRP21	-3.90563
1136	YHR168W	MTG2	-3.90563
3984	YLR294C	YLR294C	-3.90563
3985	YLR295C	ATP14	-3.90563
4818	YNL185C	MRPL19	-3.90563
2617	YDR491C	YDR491C	-3.90563
4817	YNL184C	YNL184C	-3.90563
2397	YDR270W	CCC2	-3.90563
3539	YJR077C	MIR1	-3.90563
1027	YHR060W	VMA22	-3.90563
1705	YKR085C	MRPL20	-3.90563
6103	YCL001W-A	YCL001W-A	-3.90563
2064	YDL185W	VMA1	-3.90563
6102	YCR020W-B	HTL1	-3.90563
581	YCR024C	SLM5	-3.90563
4992	YNR020C	ATP23	-3.90563
4129	YLR439W	MRPL4	-3.90563
2331	YDR204W	COQ4	-3.90563
682	YEL027W	VMA3	-3.90563
4810	YNL177C	MRPL22	-3.90563
2396	YDR269C	YDR269C	-3.90563
2398	YDR271C	YDR271C	-3.90563
4357	YMR064W	AEP1	-3.90563
2699	YGL017W	ATE1	-3.90563
5637	YPL031C	PHO85	-3.90563
2192	YDR065W	RRG1	-3.90563
42	YAL044C	GCV3	-3.90563
5923	YPR036W	VMA13	-3.90563
4803	YNL170W	YNL170W	-3.90563
3994	YLR304C	ACO1	-3.90563
2649	YDR523C	SPS1	-3.90563
3727	YLR038C	COX12	-3.90563
5009	YNR037C	RSM19	-3.90563
2899	YGL218W	YGL218W	-3.90563
2655	YDR529C	QCR7	-3.90563
4363	YMR070W	MOT3	-3.90563
5013	YNR041C	COQ2	-3.90563
5014	YNR042W	YNR042W	-3.90563
3663	YLL041C	SDH2	-3.90563
5017	YNR045W	PET494	-3.90563
4365	YMR072W	ABF2	-3.90563
801	YER070W	RNR1	-3.90563
6251	YPL189C-A	COA2	-3.90563
4792	YNL159C	ASI2	-3.90563
3575	YJR113C	RSM7	-3.90563
4528	YMR226C	YMR226C	0.00000
4532	YMR230W	RPS10B	0.00000
4534	YMR232W	FUS2	0.00000
4535	YMR233W	TRI1	0.00000
4536	YMR234W	RNH1	0.00000
4539	YMR237W	BCH1	0.00000
4540	YMR238W	DFG5	0.00000
4543	YMR241W	YHM2	0.00000
4544	YMR242C	RPL20A	0.00000
4545	YMR243C	ZRC1	0.00000
4547	YMR244W	YMR244W	0.00000
4548	YMR245W	YMR245W	0.00000
4546	YMR244C-A	COA6	0.00000
4549	YMR246W	FAA4	0.00000
4550	YMR247C	RKR1	0.00000
4551	YMR250W	GAD1	0.00000
4552	YMR251W	GTO3	0.00000
4553	YMR251W-A	HOR7	0.00000
4554	YMR252C	MLO1	0.00000
4555	YMR253C	YMR253C	0.00000
4556	YMR254C	YMR254C	0.00000
4557	YMR255W	GFD1	0.00000
4560	YMR258C	ROY1	0.00000
4561	YMR259C	TRM732	0.00000
4563	YMR261C	TPS3	0.00000
4564	YMR262W	YMR262W	0.00000
4565	YMR263W	SAP30	0.00000
4566	YMR264W	CUE1	0.00000
4567	YMR265C	YMR265C	0.00000
4571	YMR269W	TMA23	0.00000
4574	YMR272C	SCS7	0.00000
4575	YMR273C	ZDS1	0.00000
4576	YMR274C	RCE1	0.00000
4577	YMR275C	BUL1	0.00000
4578	YMR276W	DSK2	0.00000
4580	YMR278W	PRM15	0.00000
4582	YMR280C	CAT8	0.00000
4585	YMR283C	RIT1	0.00000
4586	YMR284W	YKU70	0.00000
4587	YMR285C	NGL2	0.00000
4591	YMR289W	ABZ2	0.00000
4594	YMR291W	TDA1	0.00000
4595	YMR292W	GOT1	0.00000
4597	YMR294W	JNM1	0.00000
4598	YMR294W-A	YMR294W-A	0.00000
4599	YMR295C	YMR295C	0.00000
4601	YMR297W	PRC1	0.00000
4603	YMR299C	DYN3	0.00000
4604	YMR300C	ADE4	0.00000
4606	YMR302C	YME2	0.00000
4607	YMR303C	ADH2	0.00000
4609	YMR304W	UBP15	0.00000
4608	YMR304C-A	YMR304C-A	0.00000
4610	YMR305C	SCW10	0.00000
4611	YMR306C-A	YMR306C-A	0.00000
4613	YMR307W	GAS1	0.00000
4616	YMR310C	YMR310C	0.00000
4972	YNL339C	YRF1-6	0.00000
4971	YNL338W	YNL338W	0.00000
4969	YNL336W	COS1	0.00000
4968	YNL335W	DDI3	0.00000
4967	YNL334C	SNO2	0.00000
4966	YNL333W	SNZ2	0.00000
4965	YNL332W	THI12	0.00000
4962	YNL329C	PEX6	0.00000
4961	YNL328C	MDJ2	0.00000
4960	YNL327W	EGT2	0.00000
4959	YNL326C	PFA3	0.00000
4957	YNL324W	YNL324W	0.00000
4958	YNL325C	FIG4	0.00000
4956	YNL323W	LEM3	0.00000
4955	YNL322C	KRE1	0.00000
4954	YNL321W	VNX1	0.00000
4953	YNL320W	YNL320W	0.00000
4952	YNL319W	YNL319W	0.00000
4951	YNL318C	HXT14	0.00000
4947	YNL314W	DAL82	0.00000
4944	YNL311C	SKP2	0.00000
4940	YNL307C	MCK1	0.00000
4938	YNL305C	BXI1	0.00000
4937	YNL304W	YPT11	0.00000
4936	YNL303W	YNL303W	0.00000
4935	YNL302C	RPS19B	0.00000
4934	YNL301C	RPL18B	0.00000
4932	YNL299W	TRF5	0.00000
4931	YNL298W	CLA4	0.00000
4929	YNL296W	YNL296W	0.00000
4930	YNL297C	MON2	0.00000
4928	YNL295W	MRX6	0.00000
4927	YNL294C	RIM21	0.00000
4926	YNL293W	MSB3	0.00000
4925	YNL292W	PUS4	0.00000
4924	YNL291C	MID1	0.00000
4922	YNL289W	PCL1	0.00000
4921	YNL288W	CAF40	0.00000
4919	YNL286W	CUS2	0.00000
4918	YNL285W	YNL285W	0.00000
4916	YNL283C	WSC2	0.00000
4914	YNL281W	HCH1	0.00000
4913	YNL280C	ERG24	0.00000
4911	YNL278W	CAF120	0.00000
4908	YNL275W	BOR1	0.00000
4906	YNL273W	TOF1	0.00000
4904	YNL271C	BNI1	0.00000
4903	YNL270C	ALP1	0.00000
4902	YNL269W	BSC4	0.00000
4899	YNL266W	YNL266W	0.00000
4898	YNL265C	IST1	0.00000
4897	YNL264C	PDR17	0.00000
4892	YNL259C	ATX1	0.00000
4890	YNL257C	SIP3	0.00000
4888	YNL255C	GIS2	0.00000
4887	YNL254C	RTC4	0.00000
4886	YNL253W	TEX1	0.00000
4882	YNL249C	MPA43	0.00000
4881	YNL248C	RPA49	0.00000
4879	YNL246W	VPS75	0.00000
5215	YOR001W	RRP6	0.00000
5216	YOR002W	ALG6	0.00000
5217	YOR003W	YSP3	0.00000
5219	YOR005C	DNL4	0.00000
5220	YOR006C	TSR3	0.00000
5221	YOR007C	SGT2	0.00000
5222	YOR008C	SLG1	0.00000
5223	YOR009W	TIR4	0.00000
5224	YOR010C	TIR2	0.00000
5225	YOR011W	AUS1	0.00000
5226	YOR012W	YOR012W	0.00000
5227	YOR013W	IRC11	0.00000
5228	YOR014W	RTS1	0.00000
5229	YOR015W	YOR015W	0.00000
5230	YOR016C	ERP4	0.00000
5231	YOR017W	PET127	0.00000
5232	YOR018W	ROD1	0.00000
5233	YOR019W	YOR019W	0.00000
5235	YOR021C	SFM1	0.00000
5236	YOR022C	DDL1	0.00000
5237	YOR023C	AHC1	0.00000
5238	YOR024W	YOR024W	0.00000
5239	YOR025W	HST3	0.00000
5240	YOR026W	BUB3	0.00000
5241	YOR027W	STI1	0.00000
5242	YOR028C	CIN5	0.00000
5243	YOR029W	YOR029W	0.00000
5244	YOR030W	DFG16	0.00000
5245	YOR032C	HMS1	0.00000
5246	YOR033C	EXO1	0.00000
5247	YOR034C	AKR2	0.00000
5248	YOR035C	SHE4	0.00000
5250	YOR037W	CYC2	0.00000
5251	YOR038C	HIR2	0.00000
5252	YOR039W	CKB2	0.00000
5253	YOR040W	GLO4	0.00000
5254	YOR041C	YOR041C	0.00000
5255	YOR042W	CUE5	0.00000
5256	YOR043W	WHI2	0.00000
5257	YOR044W	IRC23	0.00000
5258	YOR045W	TOM6	0.00000
5260	YOR047C	STD1	0.00000
5262	YOR049C	RSB1	0.00000
5263	YOR050C	YOR050C	0.00000
5264	YOR051C	ETT1	0.00000
5265	YOR052C	TMC1	0.00000
5266	YOR053W	YOR053W	0.00000
5267	YOR054C	VHS3	0.00000
5268	YOR055W	YOR055W	0.00000
5271	YOR058C	ASE1	0.00000
5272	YOR059C	LPL1	0.00000
5274	YOR061W	CKA2	0.00000
5275	YOR062C	YOR062C	0.00000
5277	YOR064C	YNG1	0.00000
5279	YOR066W	MSA1	0.00000
5280	YOR067C	ALG8	0.00000
5281	YOR068C	VAM10	0.00000
5282	YOR069W	VPS5	0.00000
5283	YOR070C	GYP1	0.00000
5284	YOR071C	NRT1	0.00000
5285	YOR072W	YOR072W	0.00000
5286	YOR073W	SGO1	0.00000
5289	YOR076C	SKI7	0.00000
5291	YOR078W	BUD21	0.00000
5292	YOR079C	ATX2	0.00000
5293	YOR080W	DIA2	0.00000
5294	YOR081C	TGL5	0.00000
5295	YOR082C	YOR082C	0.00000
5296	YOR083W	WHI5	0.00000
5297	YOR084W	LPX1	0.00000
5298	YOR085W	OST3	0.00000
5299	YOR086C	TCB1	0.00000
5300	YOR087W	YVC1	0.00000
5301	YOR089C	VPS21	0.00000
5302	YOR090C	PTC5	0.00000
5303	YOR091W	TMA46	0.00000
5304	YOR092W	ECM3	0.00000
5305	YOR093C	CMR2	0.00000
5306	YOR094W	ARF3	0.00000
5500	YOR289W	YOR289W	0.00000
5502	YOR291W	YPK9	0.00000
5503	YOR292C	YOR292C	0.00000
5504	YOR293W	RPS10A	0.00000
5506	YOR295W	UAF30	0.00000
5507	YOR296W	YOR296W	0.00000
5508	YOR297C	TIM18	0.00000
5509	YOR298W	MUM3	0.00000
5510	YOR299W	BUD7	0.00000
5512	YOR301W	RAX1	0.00000
5513	YOR302W	YOR302W	0.00000
5514	YOR303W	CPA1	0.00000
5515	YOR304C-A	BIL1	0.00000
5516	YOR304W	ISW2	0.00000
5519	YOR307C	SLY41	0.00000
5520	YOR308C	SNU66	0.00000
5523	YOR311C	DGK1	0.00000
5524	YOR312C	RPL20B	0.00000
5525	YOR313C	SPS4	0.00000
5526	YOR314W	YOR314W	0.00000
5527	YOR315W	SFG1	0.00000
5528	YOR316C	COT1	0.00000
5532	YOR320C	GNT1	0.00000
5533	YOR321W	PMT3	0.00000
5534	YOR322C	LDB19	0.00000
5535	YOR323C	PRO2	0.00000
5536	YOR324C	FRT1	0.00000
5539	YOR327C	SNC2	0.00000
5540	YOR328W	PDR10	0.00000
5546	YOR334W	MRS2	0.00000
5549	YOR337W	TEA1	0.00000
5550	YOR338W	YOR338W	0.00000
5551	YOR339C	UBC11	0.00000
5554	YOR342C	YOR342C	0.00000
5555	YOR343C	YOR343C	0.00000
5556	YOR344C	TYE7	0.00000
5558	YOR346W	REV1	0.00000
5559	YOR347C	PYK2	0.00000
5560	YOR348C	PUT4	0.00000
5561	YOR349W	CIN1	0.00000
5563	YOR351C	MEK1	0.00000
5564	YOR352W	TFB6	0.00000
5566	YOR354C	MSC6	0.00000
5567	YOR355W	GDS1	0.00000
5568	YOR356W	CIR2	0.00000
5569	YOR357C	SNX3	0.00000
5571	YOR359W	VTS1	0.00000
5572	YOR360C	PDE2	0.00000
5575	YOR363C	PIP2	0.00000
5577	YOR365C	YOR365C	0.00000
5579	YOR367W	SCP1	0.00000
5580	YOR368W	RAD17	0.00000
5583	YOR371C	GPB1	0.00000
5586	YOR374W	ALD4	0.00000
5588	YOR376W	YOR376W	0.00000
5589	YOR377W	ATF1	0.00000
5590	YOR378W	AMF1	0.00000
5593	YOR381W	FRE3	0.00000
5594	YOR382W	FIT2	0.00000
5595	YOR383C	FIT3	0.00000
5596	YOR384W	FRE5	0.00000
5597	YOR385W	YOR385W	0.00000
5598	YOR386W	PHR1	0.00000
5050	YOL001W	PHO80	0.00000
5051	YOL002C	IZH2	0.00000
5052	YOL003C	PFA4	0.00000
5053	YOL004W	SIN3	0.00000
5055	YOL006C	TOP1	0.00000
5056	YOL007C	CSI2	0.00000
5060	YOL011W	PLB3	0.00000
5061	YOL012C	HTZ1	0.00000
5062	YOL013C	HRD1	0.00000
5063	YOL014W	YOL014W	0.00000
5064	YOL015W	IRC10	0.00000
5066	YOL017W	ESC8	0.00000
5067	YOL018C	TLG2	0.00000
5068	YOL019W	TOS7	0.00000
5069	YOL020W	TAT2	0.00000
5072	YOL023W	IFM1	0.00000
5073	YOL024W	YOL024W	0.00000
5074	YOL025W	LAG2	0.00000
5076	YOL027C	MDM38	0.00000
5077	YOL028C	YAP7	0.00000
5078	YOL029C	YOL029C	0.00000
5079	YOL030W	GAS5	0.00000
5080	YOL031C	SIL1	0.00000
5081	YOL032W	OPI10	0.00000
5084	YOL035C	YOL035C	0.00000
5085	YOL036W	YOL036W	0.00000
5086	YOL037C	YOL037C	0.00000
5088	YOL039W	RPP2A	0.00000
5090	YOL041C	NOP12	0.00000
5091	YOL042W	NGL1	0.00000
5092	YOL043C	NTG2	0.00000
